id,company_id,first_name,last_name,preferred_name,title,email,phone,linkedin,notes,general_company_contact
1,1,James,Kowalski,,VP of Sales,jkowalski@mclaneco.com,(972) 555-0134,,Primary buyer - tobacco and snacks,false
2,1,Sandra,Brennan,,Purchasing Manager,sbrennan@mclaneco.com,(972) 555-0198,,Decision maker on new vendor approvals,false
3,1,,,,,purchasing@mclaneco.com,(972) 555-0100,,General purchasing inquiries,true
4,2,Robert,Hartley,,VP of Operations,rhartley@eby-brown.com,(630) 555-0147,,Referred us to category manager,false
5,2,Denise,Malone,,Category Manager,dmalone@eby-brown.com,(630) 555-0162,,Handles snack and tobacco categories,false
6,3,Thomas,Ostrowski,,President,tostrowski@sabraham.com,(616) 555-0183,,Family business owner - decision maker,false
7,3,Carol,Pietrzak,,Buyer,cpietrzak@sabraham.com,(616) 555-0119,,Primary contact for new SKUs,false
8,4,Michael,Donovan,,VP of Sales,mdonovan@core-mark.com,(925) 555-0145,,Met at NACS 2024 - expressed interest,false
9,4,,,,,info@core-mark.com,(925) 555-0100,,General company inquiries,true
10,5,Patricia,Lindqvist,,Purchasing Manager,plindqvist@spartannash.com,(616) 555-0172,,Grocery-focused buyer,false
11,5,Brian,Carmichael,,Category Manager,bcarmichael@spartannash.com,(616) 555-0155,,Handles snack and beverage categories,false
12,6,Kevin,Marshfield,,Owner,kmarshfield@hthackney.com,(865) 555-0138,,Long-time industry veteran,false
13,6,Angela,Ruston,,VP of Sales,aruston@hthackney.com,(865) 555-0167,,Primary sales contact,false
14,7,Daniel,Bocken,,President,dbocken@farnerbocken.com,(641) 555-0142,,Second-generation owner,false
15,7,Melissa,Granger,,Purchasing Manager,mgranger@farnerbocken.com,(641) 555-0189,,Handles all vendor onboarding,false
16,8,Steven,Whitmore,,VP of Operations,swhitmore@vistar.com,(303) 555-0153,,National accounts focus,false
17,8,,,,,sales@vistar.com,(303) 555-0100,,General sales inquiries,true
18,9,Laura,Hendricks,,Buyer,lhendricks@awginc.com,(913) 555-0176,,Grocery and general merchandise buyer,false
19,9,Frank,Ostergaard,,General Manager,fostergaard@awginc.com,(913) 555-0130,,Final approval on new vendors,false
20,10,Christine,Nakamura,,Sales Director,cnakamura@bunzlusa.com,(314) 555-0165,,Janitorial and packaging specialist,false
21,10,,,,,info@bunzlusa.com,(314) 555-0100,,General inquiries,true
22,11,Richard,Broussard,,VP of Sales,rbroussard@imperialtrading.com,(504) 555-0148,,Louisiana-based but covers Midwest,false
23,11,Janet,Thibodaux,,Purchasing Manager,jthibodaux@imperialtrading.com,(504) 555-0177,,New vendor intake,false
24,12,Gary,Nettles,,President,gnettles@gscenterprises.com,(918) 555-0141,,Owner operator - expanding territory,false
25,13,William,Koester,,General Manager,wkoester@generalwholesale.com,(313) 555-0195,,Michigan market expert,false
26,13,,,,,orders@generalwholesale.com,(313) 555-0100,,Order desk,true
27,14,Anthony,Ferraro,,Owner,aferraro@miwholesaletobacco.com,(313) 555-0158,,Tobacco only buyer - very focused,false
28,15,Dorothy,Schumacher,,Office Manager,dschumacher@ilwholesale.com,(773) 555-0143,,Handles vendor contracts,false
